조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2025,학교,1003,1003,SC_VIOLENCE_01,2.0,,2.0,63.0
2025,학교,1005,1005,SC_VIOLENCE_01,1.0,,1.0,583.0
2025,학교,1007,1007,SC_VIOLENCE_01,0.0,,1.0,369.0
2025,학교,1009,1009,SC_VIOLENCE_01,1.0,,1.0,229.0
2025,학교,1013,1013,SC_VIOLENCE_01,4.0,,1.0,550.0
2025,학교,1014,1014,SC_VIOLENCE_01,0.0,,2.0,346.0
2025,학교,1015,1015,SC_VIOLENCE_01,0.0,,1.0,589.0
2025,학교,1016,1016,SC_VIOLENCE_01,0.0,,1.0,460.0
2025,학교,1020,1020,SC_VIOLENCE_01,2.0,,1.0,257.0
2025,학교,1021,1021,SC_VIOLENCE_01,0.0,,1.0,1206.0
2025,학교,1023,1023,SC_VIOLENCE_01,0.0,,1.0,287.0
2025,학교,1025,1025,SC_VIOLENCE_01,4.0,,1.0,1046.0
2025,학교,1026,1026,SC_VIOLENCE_01,30.0,,2.0,874.0
2025,학교,1027,1027,SC_VIOLENCE_01,2.0,,1.0,963.0
2025,학교,1029,1029,SC_VIOLENCE_01,0.0,,1.0,558.0
2025,학교,1031,1031,SC_VIOLENCE_01,2.0,,1.0,986.0
2025,학교,1033,1033,SC_VIOLENCE_01,0.0,,1.0,175.0
2025,학교,1034,1034,SC_VIOLENCE_01,7.0,,1.0,400.0
2025,학교,1035,1035,SC_VIOLENCE_01,3.0,,1.0,891.0
2025,학교,1036,1036,SC_VIOLENCE_01,0.0,,1.0,851.0
2025,학교,1038,1038,SC_VIOLENCE_01,0.0,,1.0,612.0
2025,학교,1039,1039,SC_VIOLENCE_01,0.0,,1.0,705.0
2025,학교,1042,1042,SC_VIOLENCE_01,0.0,,1.0,272.0
2025,학교,1043,1043,SC_VIOLENCE_01,2.0,,1.0,522.0
2025,학교,1044,1044,SC_VIOLENCE_01,0.0,,1.0,302.0
2025,학교,1045,1045,SC_VIOLENCE_01,2.0,,1.0,535.0
2025,학교,1046,1046,SC_VIOLENCE_01,0.0,,1.0,442.0
2025,학교,1047,1047,SC_VIOLENCE_01,0.0,학교중복응답통합,1.0,440.0
2025,학교,1048,1048,SC_VIOLENCE_01,2.0,,1.0,923.0
2025,학교,1050,1050,SC_VIOLENCE_01,0.0,,1.0,1231.0
2025,학교,1052,1052,SC_VIOLENCE_01,2.0,,1.0,393.0
2025,학교,1053,1053,SC_VIOLENCE_01,3.0,,1.0,1303.0
2025,학교,1058,1058,SC_VIOLENCE_01,0.0,,1.0,759.0
2025,학교,1059,1059,SC_VIOLENCE_01,2.0,,1.0,511.0
2025,학교,1060,1060,SC_VIOLENCE_01,0.0,,1.0,729.0
2025,학교,1062,1062,SC_VIOLENCE_01,1.0,,1.0,644.0
2025,학교,1063,1063,SC_VIOLENCE_01,0.0,,1.0,401.0
2025,학교,1064,1064,SC_VIOLENCE_01,0.0,,1.0,218.0
2025,학교,1065,1065,SC_VIOLENCE_01,3.0,,1.0,385.0
2025,학교,1066,1066,SC_VIOLENCE_01,0.0,,1.0,444.0
2025,학교,1067,1067,SC_VIOLENCE_01,5.0,,1.0,1098.0
2025,학교,1070,1070,SC_VIOLENCE_01,0.0,,1.0,526.0
2025,학교,1073,1073,SC_VIOLENCE_01,3.0,,1.0,944.0
2025,학교,1075,1075,SC_VIOLENCE_01,0.0,,1.0,237.0
2025,학교,1076,1076,SC_VIOLENCE_01,,학교중복충돌→결측,1.0,560.0
2025,학교,1077,1077,SC_VIOLENCE_01,0.0,,1.0,268.0
2025,학교,1083,1083,SC_VIOLENCE_01,0.0,,1.0,607.0
2025,학교,1090,1090,SC_VIOLENCE_01,0.0,,1.0,373.0
2025,학교,1094,1094,SC_VIOLENCE_01,0.0,,1.0,1065.0
2025,학교,1097,1097,SC_VIOLENCE_01,1.0,,1.0,593.0
2025,학교,1098,1098,SC_VIOLENCE_01,2.0,,1.0,1019.0
2025,학교,1099,1099,SC_VIOLENCE_01,3.0,,1.0,608.0
2025,학교,1100,1100,SC_VIOLENCE_01,0.0,,1.0,174.0
2025,학교,1101,1101,SC_VIOLENCE_01,0.0,,1.0,878.0
2025,학교,1103,1103,SC_VIOLENCE_01,10.0,,1.0,641.0
2025,학교,1104,1104,SC_VIOLENCE_01,0.0,,1.0,711.0
2025,학교,1105,1105,SC_VIOLENCE_01,2.0,,2.0,988.0
2025,학교,1106,1106,SC_VIOLENCE_01,1.0,,1.0,602.0
2025,학교,1107,1107,SC_VIOLENCE_01,,학교중복충돌→결측,1.0,538.0
2025,학교,1113,1113,SC_VIOLENCE_01,0.0,,2.0,384.0
2025,학교,1114,1114,SC_VIOLENCE_01,1.0,,1.0,511.0
2025,학교,1116,1116,SC_VIOLENCE_01,0.0,,1.0,404.0
2025,학교,1118,1118,SC_VIOLENCE_01,10.0,,1.0,714.0
2025,학교,1119,1119,SC_VIOLENCE_01,3.0,,1.0,921.0
2025,학교,1120,1120,SC_VIOLENCE_01,0.0,,1.0,694.0
2025,학교,1121,1121,SC_VIOLENCE_01,0.0,,1.0,639.0
2025,학교,1122,1122,SC_VIOLENCE_01,3.0,,1.0,784.0
2025,학교,1123,1123,SC_VIOLENCE_01,1.0,,1.0,927.0
2025,학교,1125,1125,SC_VIOLENCE_01,0.0,,1.0,1299.0
2025,학교,1127,1127,SC_VIOLENCE_01,5.0,,2.0,674.0
2025,학교,1129,1129,SC_VIOLENCE_01,0.0,,2.0,478.0
2025,학교,1131,1131,SC_VIOLENCE_01,0.0,,1.0,833.0
2025,학교,1132,1132,SC_VIOLENCE_01,0.0,학교중복응답통합,1.0,171.0
2025,학교,1133,1133,SC_VIOLENCE_01,0.0,,1.0,116.0
2025,학교,1135,1135,SC_VIOLENCE_01,0.0,,1.0,312.0
2025,학교,1137,1137,SC_VIOLENCE_01,2.0,,1.0,292.0
2025,학교,1139,1139,SC_VIOLENCE_01,2.0,,1.0,833.0
2025,학교,1140,1140,SC_VIOLENCE_01,2.0,,2.0,260.0
2025,학교,1141,1141,SC_VIOLENCE_01,0.0,,1.0,414.0
2025,학교,1142,1142,SC_VIOLENCE_01,2.0,,1.0,557.0
2025,학교,1143,1143,SC_VIOLENCE_01,0.0,,1.0,1244.0
2025,학교,1144,1144,SC_VIOLENCE_01,0.0,,2.0,376.0
2025,학교,1147,1147,SC_VIOLENCE_01,0.0,,2.0,253.0
2025,학교,1148,1148,SC_VIOLENCE_01,3.0,,1.0,441.0
2025,학교,1149,1149,SC_VIOLENCE_01,0.0,,1.0,988.0
2025,학교,1150,1150,SC_VIOLENCE_01,0.0,,1.0,453.0
2025,학교,1152,1152,SC_VIOLENCE_01,2.0,,2.0,388.0
2025,학교,1153,1153,SC_VIOLENCE_01,0.0,학교중복응답통합,1.0,249.0
2025,학교,1154,1154,SC_VIOLENCE_01,0.0,,1.0,817.0
2025,학교,1155,1155,SC_VIOLENCE_01,0.0,,1.0,1166.0
2025,학교,1156,1156,SC_VIOLENCE_01,0.0,,1.0,566.0
