조사명,학교급,조사연도,주기,지역규모코드,지역규모,대분류코드,대분류,소주제코드,소주제,응답주체,indicator_id,지표명,통계유형,시계열비교가능,대표값,대표값유형,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,환산100,구인환산100,상위2선지비율,긍정응답률,절사평균,지출자수,지출참여율,지출자평균,지출자중앙값,화면표시,발생건수합계,분모학생수합계,발생률산출학교수
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_02,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,11.24,환산100점,1899,0,1.4497,0.7388,1.0,1.0,2.0,11.24,11.24,2.32,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_02,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,21.09,환산100점,4351,0,1.8437,0.9905,2.0,1.0,2.0,21.09,21.09,7.58,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_02,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,20.47,환산100점,822,0,1.8187,0.9797,2.0,1.0,2.0,20.47,20.47,7.42,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_03,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,25.33,환산100점,6985,0,2.0132,1.0738,2.0,1.0,3.0,25.33,25.33,10.69,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_03,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,24.53,환산100점,1899,0,1.981,1.0715,2.0,1.0,3.0,24.53,24.53,10.53,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_03,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,29.6,환산100점,4351,0,2.1839,1.1304,2.0,1.0,3.0,29.6,29.6,14.25,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_03,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,27.8,환산100점,822,0,2.1119,1.1542,2.0,1.0,3.0,27.8,27.8,15.21,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_04,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,18.38,환산100점,6985,0,1.7353,0.9292,1.0,1.0,2.0,18.38,18.38,5.34,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_04,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,18.89,환산100점,1899,0,1.7557,0.9516,1.0,1.0,2.0,18.89,18.89,6.37,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_04,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,24.39,환산100점,4351,0,1.9756,1.0541,2.0,1.0,3.0,24.39,24.39,9.91,,,,,,,시계열,,,
