조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학부모,10051001,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051003,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051004,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051006,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051008,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051010,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051011,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051013,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051014,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051015,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051018,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051020,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051022,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051023,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051025,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051026,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051027,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051028,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051031,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051032,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051033,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051035,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051037,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051038,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051039,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051043,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051044,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051045,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051046,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051047,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10051051,1005,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061002,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061004,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061006,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061007,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061009,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061012,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061013,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061025,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061032,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061033,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061034,1006,PR_EDU_COST_01,3.0,,1.0,
2021,학부모,10061035,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061038,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061039,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061043,1006,PR_EDU_COST_01,1.0,,1.0,
2021,학부모,10061044,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061045,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061046,1006,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10061047,1006,PR_EDU_COST_01,10.0,,1.0,
2021,학부모,10071006,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071009,1007,PR_EDU_COST_01,10.0,,1.0,
2021,학부모,10071011,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071020,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071024,1007,PR_EDU_COST_01,0.3,,1.0,
2021,학부모,10071025,1007,PR_EDU_COST_01,0.0,,1.0,
