indicator_id,조사연도,코드,라벨
ST_STRATEGY_08,2025,3.0,보통이다
ST_STRATEGY_08,2025,4.0,그렇다
ST_STRATEGY_08,2025,5.0,매우그렇다
ST_SDL_01,2021,1.0,전혀 그렇지 않다
ST_SDL_01,2021,2.0,그렇지 않다
ST_SDL_01,2021,3.0,보통이다
ST_SDL_01,2021,4.0,그렇다
ST_SDL_01,2021,5.0,매우 그렇다
ST_SDL_01,2025,1.0,전혀그렇지않다
ST_SDL_01,2025,2.0,그렇지않다
ST_SDL_01,2025,3.0,보통이다
ST_SDL_01,2025,4.0,그렇다
ST_SDL_01,2025,5.0,매우그렇다
ST_SDL_02,2021,1.0,전혀 그렇지 않다
ST_SDL_02,2021,2.0,그렇지 않다
ST_SDL_02,2021,3.0,보통이다
ST_SDL_02,2021,4.0,그렇다
ST_SDL_02,2021,5.0,매우 그렇다
ST_SDL_02,2025,1.0,전혀그렇지않다
ST_SDL_02,2025,2.0,그렇지않다
ST_SDL_02,2025,3.0,보통이다
ST_SDL_02,2025,4.0,그렇다
ST_SDL_02,2025,5.0,매우그렇다
ST_SDL_03,2021,1.0,전혀 그렇지 않다
ST_SDL_03,2021,2.0,그렇지 않다
ST_SDL_03,2021,3.0,보통이다
ST_SDL_03,2021,4.0,그렇다
ST_SDL_03,2021,5.0,매우 그렇다
ST_SDL_03,2025,1.0,전혀그렇지않다
ST_SDL_03,2025,2.0,그렇지않다
ST_SDL_03,2025,3.0,보통이다
ST_SDL_03,2025,4.0,그렇다
ST_SDL_03,2025,5.0,매우그렇다
ST_SDL_04,2021,1.0,전혀 그렇지 않다
ST_SDL_04,2021,2.0,그렇지 않다
ST_SDL_04,2021,3.0,보통이다
ST_SDL_04,2021,4.0,그렇다
ST_SDL_04,2021,5.0,매우 그렇다
ST_SDL_04,2025,1.0,전혀그렇지않다
ST_SDL_04,2025,2.0,그렇지않다
ST_SDL_04,2025,3.0,보통이다
ST_SDL_04,2025,4.0,그렇다
ST_SDL_04,2025,5.0,매우그렇다
ST_SDL_05,2021,1.0,전혀 그렇지 않다
ST_SDL_05,2021,2.0,그렇지 않다
ST_SDL_05,2021,3.0,보통이다
ST_SDL_05,2021,4.0,그렇다
ST_SDL_05,2021,5.0,매우 그렇다
ST_SDL_05,2025,1.0,전혀그렇지않다
ST_SDL_05,2025,2.0,그렇지않다
ST_SDL_05,2025,3.0,보통이다
ST_SDL_05,2025,4.0,그렇다
ST_SDL_05,2025,5.0,매우그렇다
ST_SDL_06,2021,1.0,전혀 그렇지 않다
ST_SDL_06,2021,2.0,그렇지 않다
ST_SDL_06,2021,3.0,보통이다
ST_SDL_06,2021,4.0,그렇다
ST_SDL_06,2021,5.0,매우 그렇다
ST_SDL_06,2025,1.0,전혀그렇지않다
ST_SDL_06,2025,2.0,그렇지않다
ST_SDL_06,2025,3.0,보통이다
ST_SDL_06,2025,4.0,그렇다
ST_SDL_06,2025,5.0,매우그렇다
ST_SDL_07,2021,1.0,전혀 그렇지 않다
ST_SDL_07,2021,2.0,그렇지 않다
ST_SDL_07,2021,3.0,보통이다
ST_SDL_07,2021,4.0,그렇다
ST_SDL_07,2021,5.0,매우 그렇다
ST_SDL_07,2025,1.0,전혀그렇지않다
ST_SDL_07,2025,2.0,그렇지않다
ST_SDL_07,2025,3.0,보통이다
ST_SDL_07,2025,4.0,그렇다
ST_SDL_07,2025,5.0,매우그렇다
ST_SDL_08,2021,1.0,전혀 그렇지 않다
ST_SDL_08,2021,2.0,그렇지 않다
ST_SDL_08,2021,3.0,보통이다
ST_SDL_08,2021,4.0,그렇다
ST_SDL_08,2021,5.0,매우 그렇다
ST_SDL_08,2025,1.0,전혀그렇지않다
ST_SDL_08,2025,2.0,그렇지않다
ST_SDL_08,2025,3.0,보통이다
ST_SDL_08,2025,4.0,그렇다
ST_SDL_08,2025,5.0,매우그렇다
ST_SDL_09,2021,1.0,전혀 그렇지 않다
ST_SDL_09,2021,2.0,그렇지 않다
ST_SDL_09,2021,3.0,보통이다
ST_SDL_09,2021,4.0,그렇다
ST_SDL_09,2021,5.0,매우 그렇다
ST_SDL_09,2025,1.0,전혀그렇지않다
ST_SDL_09,2025,2.0,그렇지않다
ST_SDL_09,2025,3.0,보통이다
ST_SDL_09,2025,4.0,그렇다
ST_SDL_09,2025,5.0,매우그렇다
ST_GRADE_SELF_01,2021,1.0,아주 낮은 편
ST_GRADE_SELF_01,2021,2.0,낮은 편
ST_GRADE_SELF_01,2021,3.0,보통
ST_GRADE_SELF_01,2021,4.0,높은 편
ST_GRADE_SELF_01,2021,5.0,아주 높은 편
ST_GRADE_SELF_01,2025,1.0,아주 낮은 편
ST_GRADE_SELF_01,2025,2.0,낮은 편
ST_GRADE_SELF_01,2025,3.0,보통
ST_GRADE_SELF_01,2025,4.0,높은 편
ST_GRADE_SELF_01,2025,5.0,아주 높은 편
ST_ASPIRE_01,2021,1.0,고등학교 졸업
ST_ASPIRE_01,2021,2.0,2~3년제 대학 졸업
