조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드
2025,학부모,10121460,1012,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10131463,1013,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10131466,1013,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10131469,1013,PR_EDU_COST_01,34.0,,1.0
2025,학부모,10131470,1013,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10131477,1013,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10131483,1013,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10131485,1013,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10131494,1013,PR_EDU_COST_01,,,1.0
2025,학부모,10131507,1013,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10131508,1013,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10131509,1013,PR_EDU_COST_01,8.0,,1.0
2025,학부모,10131510,1013,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10141514,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141522,1014,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10141531,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141541,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141543,1014,PR_EDU_COST_01,1.0,,2.0
2025,학부모,10141544,1014,PR_EDU_COST_01,2.0,,2.0
2025,학부모,10141545,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141548,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141551,1014,PR_EDU_COST_01,5.0,,2.0
2025,학부모,10141554,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141557,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141559,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10141560,1014,PR_EDU_COST_01,,,2.0
2025,학부모,10151586,1015,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10161625,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161628,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161629,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161630,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161631,1016,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10161634,1016,PR_EDU_COST_01,3.0,,1.0
2025,학부모,10161635,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161637,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161640,1016,PR_EDU_COST_01,7.0,,1.0
2025,학부모,10161641,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161642,1016,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10161644,1016,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10161645,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161647,1016,PR_EDU_COST_01,15.0,,1.0
2025,학부모,10161652,1016,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10161653,1016,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10161654,1016,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10161658,1016,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10161660,1016,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10161664,1016,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10161665,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161666,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161668,1016,PR_EDU_COST_01,1.0,,1.0
