indicator_id,조사연도,주기,지역규모코드,지역규모,조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,통계유형,시계열비교가능,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,지출자수,지출참여율,지출자평균,지출자중앙값,절사평균,환산100,상위2선지비율,긍정응답률
ST_COMP_SC_TOT,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 원점수(총점),continuous,N,6985,0,52.6994,10.5383,53.0,46.0,59.0,6985.0,100.0,52.6994,53.0,52.9422,,,
ST_COMP_SC_TOT,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 원점수(총점),continuous,N,1899,0,52.4629,10.515,52.0,45.0,59.0,1899.0,100.0,52.4629,52.0,52.7304,,,
ST_COMP_SC_TOT,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 원점수(총점),continuous,N,3920,431,75.0505,11.5822,75.0,67.0,83.0,3920.0,90.09,75.0505,75.0,75.2444,,,
ST_COMP_SC_TOT,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C01,학생성장,S0101,역량점수,학생,사회적 역량 원점수(총점),continuous,N,769,53,75.3511,11.6376,75.0,67.0,84.0,769.0,93.55,75.3511,75.0,75.4728,,,
ST_MOTIV_01,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,6985,0,1.8799,0.9808,2.0,1.0,2.0,,,,,,22.0,7.53,
ST_MOTIV_01,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,1899,0,1.8462,0.9605,2.0,1.0,2.0,,,,,,21.16,6.48,
ST_MOTIV_01,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,4351,0,2.0129,1.0554,2.0,1.0,3.0,,,,,,25.32,10.16,
ST_MOTIV_01,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 1)나는 공부를 하지 않으면 부모님이 화를 내시기 때문에 공부한다",likert,Y,822,0,1.955,1.042,2.0,1.0,3.0,,,,,,23.87,8.64,
ST_MOTIV_02,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,6985,0,1.4335,0.7143,1.0,1.0,2.0,,,,,,10.84,2.08,
ST_MOTIV_02,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,1899,0,1.4497,0.7388,1.0,1.0,2.0,,,,,,11.24,2.32,
ST_MOTIV_02,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,4351,0,1.8437,0.9905,2.0,1.0,2.0,,,,,,21.09,7.58,
ST_MOTIV_02,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 2)나는 공부를 하지 않으면 선생님께 혼나기 때문에 공부한다",likert,조건부,822,0,1.8187,0.9797,2.0,1.0,2.0,,,,,,20.47,7.42,
ST_MOTIV_03,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,6985,0,2.0132,1.0738,2.0,1.0,3.0,,,,,,25.33,10.69,
ST_MOTIV_03,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,1899,0,1.981,1.0715,2.0,1.0,3.0,,,,,,24.53,10.53,
ST_MOTIV_03,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,4351,0,2.1839,1.1304,2.0,1.0,3.0,,,,,,29.6,14.25,
ST_MOTIV_03,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,822,0,2.1119,1.1542,2.0,1.0,3.0,,,,,,27.8,15.21,
ST_MOTIV_04,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,6985,0,1.7353,0.9292,1.0,1.0,2.0,,,,,,18.38,5.34,
ST_MOTIV_04,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,1899,0,1.7557,0.9516,1.0,1.0,2.0,,,,,,18.89,6.37,
ST_MOTIV_04,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,4351,0,1.9756,1.0541,2.0,1.0,3.0,,,,,,24.39,9.91,
ST_MOTIV_04,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,822,0,1.9428,1.046,2.0,1.0,3.0,,,,,,23.57,9.85,
ST_MOTIV_05,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,6985,0,2.5804,1.1109,3.0,2.0,3.0,,,,,,39.51,19.87,
ST_MOTIV_05,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,1899,0,2.6019,1.1247,3.0,2.0,3.0,,,,,,40.05,20.48,
ST_MOTIV_05,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,4351,0,2.6318,1.1127,3.0,2.0,3.0,,,,,,40.8,20.13,
ST_MOTIV_05,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,822,0,2.5401,1.0769,3.0,2.0,3.0,,,,,,38.5,17.03,
ST_MOTIV_06,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,6985,0,2.3356,1.103,2.0,1.0,3.0,,,,,,33.39,14.57,
ST_MOTIV_06,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,1899,0,2.3286,1.1125,2.0,1.0,3.0,,,,,,33.21,14.11,
ST_MOTIV_06,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,4351,0,2.3974,1.1181,2.0,1.0,3.0,,,,,,34.93,15.28,
ST_MOTIV_06,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,822,0,2.3114,1.0713,2.0,1.0,3.0,,,,,,32.79,12.41,
ST_MOTIV_07,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,6985,0,2.5234,1.2065,2.0,1.0,3.0,,,,,,38.09,22.42,
ST_MOTIV_07,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,1899,0,2.5034,1.2134,2.0,1.0,3.0,,,,,,37.59,21.85,
ST_MOTIV_07,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,4351,0,2.6051,1.1873,3.0,2.0,3.0,,,,,,40.13,22.98,
ST_MOTIV_07,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,822,0,2.5511,1.1487,3.0,2.0,3.0,,,,,,38.78,20.92,
ST_MOTIV_08,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,6985,0,2.4097,1.1377,2.0,1.0,3.0,,,,,,35.24,17.05,
ST_MOTIV_08,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,1899,0,2.4186,1.1523,2.0,1.0,3.0,,,,,,35.47,17.64,
ST_MOTIV_08,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,4351,0,2.5047,1.118,2.0,2.0,3.0,,,,,,37.62,17.72,
ST_MOTIV_08,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,822,0,2.4878,1.0955,2.0,2.0,3.0,,,,,,37.2,16.3,
ST_STRATEGY_01,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,6985,0,2.9847,1.1092,3.0,2.0,4.0,,,,,,49.62,33.82,
ST_STRATEGY_01,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,1899,0,2.9489,1.098,3.0,2.0,4.0,,,,,,48.72,31.91,
ST_STRATEGY_01,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,4351,0,3.1402,1.0681,3.0,3.0,4.0,,,,,,53.5,37.76,
ST_STRATEGY_01,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,822,0,3.0852,1.0926,3.0,2.0,4.0,,,,,,52.13,36.98,
ST_STRATEGY_02,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,6985,0,2.9595,1.1731,3.0,2.0,4.0,,,,,,48.99,35.55,
ST_STRATEGY_02,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,1899,0,2.9558,1.1696,3.0,2.0,4.0,,,,,,48.89,34.86,
