조사명,학교급,indicator_id,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,조사연도,주기,코드,응답수,비율,선지라벨
경기학교교육실태조사,중학교,PR_CAREER_05,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2021,1주기,2.0,3378,56.79,없다
경기학교교육실태조사,중학교,PR_CAREER_05,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,1.0,732,49.39,경험여부 있다
경기학교교육실태조사,중학교,PR_CAREER_05,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 5)진로 관련 검사(적성, 흥미검사 등) 실시",2025,2주기,2.0,750,50.61,경험여부 없다
경기학교교육실태조사,중학교,PR_CAREER_06,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,1.0,1235,20.76,있다
경기학교교육실태조사,중학교,PR_CAREER_06,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2021,1주기,2.0,4713,79.24,없다
경기학교교육실태조사,중학교,PR_CAREER_06,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2025,2주기,1.0,789,53.24,경험여부 있다
경기학교교육실태조사,중학교,PR_CAREER_06,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 6)상급학교(고등학교·대학교) 직접 방문(입시설명회 포함) 및 전화 상담,2025,2주기,2.0,693,46.76,경험여부 없다
경기학교교육실태조사,중학교,PR_CAREER_07,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 7)상급학교 안내책자(홍보자료)를 통한 정보 수집,2021,1주기,1.0,3113,52.34,있다
경기학교교육실태조사,중학교,PR_CAREER_07,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 7)상급학교 안내책자(홍보자료)를 통한 정보 수집,2021,1주기,2.0,2835,47.66,없다
경기학교교육실태조사,중학교,PR_CAREER_07,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 7)상급학교 안내책자(홍보자료)를 통한 정보 수집,2025,2주기,1.0,1031,69.57,경험여부 있다
경기학교교육실태조사,중학교,PR_CAREER_07,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 7)상급학교 안내책자(홍보자료)를 통한 정보 수집,2025,2주기,2.0,451,30.43,경험여부 없다
경기학교교육실태조사,중학교,PR_CAREER_08,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 8)대중매체(TV, 신문 등)를 통한 정보 수집",2021,1주기,1.0,2836,47.68,있다
경기학교교육실태조사,중학교,PR_CAREER_08,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 8)대중매체(TV, 신문 등)를 통한 정보 수집",2021,1주기,2.0,3112,52.32,없다
경기학교교육실태조사,중학교,PR_CAREER_08,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 8)대중매체(TV, 신문 등)를 통한 정보 수집",2025,2주기,1.0,945,63.77,경험여부 있다
경기학교교육실태조사,중학교,PR_CAREER_08,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 8)대중매체(TV, 신문 등)를 통한 정보 수집",2025,2주기,2.0,537,36.23,경험여부 없다
경기학교교육실태조사,중학교,PR_CAREER_09,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 9)온라인 커뮤니티를 통한 정보 수집,2021,1주기,1.0,3616,60.79,있다
경기학교교육실태조사,중학교,PR_CAREER_09,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 9)온라인 커뮤니티를 통한 정보 수집,2021,1주기,2.0,2332,39.21,없다
경기학교교육실태조사,중학교,PR_CAREER_09,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 9)온라인 커뮤니티를 통한 정보 수집,2025,2주기,1.0,1101,74.29,경험여부 있다
경기학교교육실태조사,중학교,PR_CAREER_09,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 9)온라인 커뮤니티를 통한 정보 수집,2025,2주기,2.0,381,25.71,경험여부 없다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,1.0,59,1.4,전혀 도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,2.0,305,7.22,도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,3.0,1655,39.19,보통이다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,4.0,1835,43.45,도움 된다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,5.0,369,8.74,매우 도움 된다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,1.0,9,0.83,전혀도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,2.0,15,1.39,도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,3.0,230,21.24,보통이다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,4.0,484,44.69,도움된다
경기학교교육실태조사,중학교,PR_CAREER_10,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 1)학교 담임교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,5.0,345,31.86,매우도움된다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,1.0,24,2.72,전혀 도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,2.0,81,9.18,도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,3.0,352,39.91,보통이다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,4.0,357,40.48,도움 된다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,5.0,68,7.71,매우 도움 된다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,1.0,4,1.17,전혀도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,2.0,8,2.35,도움 되지않는다
