조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,조사연도,주기,지표수,평균환산100,평균응답수
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,교사,2025,2주기,6,64.97,2800.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학부모,2025,2주기,1,67.29,1482.0
경기학교교육실태조사,중학교,C09,만족도,S0901,전반적 만족도,학생,2025,2주기,1,63.71,5173.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,교사,2021,1주기,4,72.04,5189.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학부모,2021,1주기,10,61.05,5948.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학생,2021,1주기,6,61.44,8884.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,교사,2025,2주기,4,70.18,2800.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학부모,2025,2주기,10,62.88,1482.0
경기학교교육실태조사,중학교,C09,만족도,S0902,세부 만족도,학생,2025,2주기,6,64.49,5173.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학부모,2021,1주기,1,57.19,5948.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학생,2021,1주기,1,47.44,8884.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학부모,2025,2주기,1,57.56,1482.0
경기학교교육실태조사,중학교,C10,진로·진학,S1001,교육포부,학생,2025,2주기,1,47.57,5173.0
경기학교교육실태조사,중학교,C10,진로·진학,S1002,진로·진학 준비,학부모,2021,1주기,9,59.78,2548.0
경기학교교육실태조사,중학교,C10,진로·진학,S1002,진로·진학 준비,학부모,2025,2주기,9,72.16,809.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101A,교사효능감,교사,2021,1주기,7,77.56,5189.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101A,교사효능감,교사,2025,2주기,7,74.51,2800.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101B,교사 사기,교사,2021,1주기,2,81.26,5189.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1101B,교사 사기,교사,2025,2주기,2,81.5,2800.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1102,동료 협력,교사,2021,1주기,15,53.82,5189.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1102,동료 협력,교사,2025,2주기,15,51.26,2800.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1103,교사 연수,교사,2021,1주기,6,26.43,5189.0
경기학교교육실태조사,중학교,C11,교사 전문성,S1103,교사 연수,교사,2025,2주기,6,30.6,2800.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1201,학교장 리더십,교사,2021,1주기,4,76.53,5189.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1201,학교장 리더십,교사,2025,2주기,4,73.27,2800.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1202,민주적 학교문화,교사,2021,1주기,6,70.61,5189.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1202,민주적 학교문화,교사,2025,2주기,6,68.18,2800.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1203,지역사회 연계,교사,2021,1주기,5,71.91,5189.0
경기학교교육실태조사,중학교,C12,학교풍토·리더십,S1203,지역사회 연계,교사,2025,2주기,5,68.88,2800.0
