조사연도,학교키,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답
2021,SCH092,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH033,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH116,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH034,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH161,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH082,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH017,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH085,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH047,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH111,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH128,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH145,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH080,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH119,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH007,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2021,SCH138,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH076,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2021,SCH124,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH037,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH094,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH011,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH103,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH147,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2021,SCH122,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH041,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH089,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH027,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH129,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH018,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH059,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH014,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH078,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
